path,sigma_px,offset_px,distance_px,x,y,red,green,blue,saturation,value
A,0,1,13.75,158.75,217.0,101.75,144.25,175.25,0.4194008559201141,175.25
A,0,1,14.0,159.0,217.0,102.0,143.0,175.0,0.41714285714285715,175.0
A,0,1,14.25,159.25,217.0,97.0,144.25,173.75,0.441726618705036,173.75
A,0,1,14.5,159.5,217.0,92.0,145.5,172.5,0.4666666666666667,172.5
A,0,1,14.75,159.75,217.0,87.0,146.75,171.25,0.491970802919708,171.25
A,0,1,15.0,160.0,217.0,82.0,148.0,170.0,0.5176470588235295,170.0
A,0,2,0.0,145.0,218.0,84.0,157.0,164.0,0.4878048780487805,164.0
A,0,2,0.25,145.25,218.0,85.0,159.0,166.25,0.48872180451127817,166.25
A,0,2,0.5,145.5,218.0,86.0,161.0,168.5,0.4896142433234421,168.5
A,0,2,0.75,145.75,218.0,87.0,163.0,170.75,0.4904831625183016,170.75
A,0,2,1.0,146.0,218.0,88.0,165.0,173.0,0.4913294797687861,173.0
A,0,2,1.25,146.25,218.0,87.75,165.25,173.0,0.49277456647398843,173.0
A,0,2,1.5,146.5,218.0,87.5,165.5,173.0,0.49421965317919075,173.0
A,0,2,1.75,146.75,218.0,87.25,165.75,173.0,0.4956647398843931,173.0
A,0,2,2.0,147.0,218.0,87.0,166.0,173.0,0.49710982658959535,173.0
A,0,2,2.25,147.25,218.0,87.0,166.25,173.25,0.49783549783549785,173.25
A,0,2,2.5,147.5,218.0,87.0,166.5,173.5,0.49855907780979825,173.5
A,0,2,2.75,147.75,218.0,87.0,166.75,173.75,0.49928057553956834,173.75
A,0,2,3.0,148.0,218.0,87.0,167.0,174.0,0.5,174.0
A,0,2,3.25,148.25,218.0,87.5,167.25,174.25,0.49784791965566716,174.25
A,0,2,3.5,148.5,218.0,88.0,167.5,174.5,0.49570200573065903,174.5
A,0,2,3.75,148.75,218.0,88.5,167.75,174.75,0.49356223175965663,174.75
A,0,2,4.0,149.0,218.0,89.0,168.0,175.0,0.49142857142857144,175.0
A,0,2,4.25,149.25,218.0,88.25,166.25,173.0,0.48988439306358383,173.0
A,0,2,4.5,149.5,218.0,87.5,164.5,171.0,0.48830409356725146,171.0
A,0,2,4.75,149.75,218.0,86.75,162.75,169.0,0.48668639053254437,169.0
A,0,2,5.0,150.0,218.0,86.0,161.0,167.0,0.48502994011976047,167.0
A,0,2,5.25,150.25,218.0,84.0,158.5,164.5,0.48936170212765956,164.5
A,0,2,5.5,150.5,218.0,82.0,156.0,162.0,0.49382716049382713,162.0
A,0,2,5.75,150.75,218.0,80.0,153.5,159.5,0.49843260188087773,159.5
A,0,2,6.0,151.0,218.0,78.0,151.0,157.0,0.5031847133757962,157.0
A,0,2,6.25,151.25,218.0,76.75,146.5,153.0,0.49836601307189543,153.0
A,0,2,6.5,151.5,218.0,75.5,142.0,149.0,0.49328859060402686,149.0
A,0,2,6.75,151.75,218.0,74.25,137.5,145.0,0.4879310344827586,145.0
A,0,2,7.0,152.0,218.0,73.0,133.0,141.0,0.48226950354609927,141.0
A,0,2,7.25,152.25,218.0,72.25,129.0,137.5,0.47454545454545455,137.5
A,0,2,7.5,152.5,218.0,71.5,125.0,134.0,0.4664179104477612,134.0
A,0,2,7.75,152.75,218.0,70.75,121.0,130.5,0.4578544061302682,130.5
A,0,2,8.0,153.0,218.0,70.0,117.0,127.0,0.44881889763779526,127.0
A,0,2,8.25,153.25,218.0,63.25,108.0,118.75,0.4673684210526316,118.75
A,0,2,8.5,153.5,218.0,56.5,99.0,110.5,0.48868778280542985,110.5
A,0,2,8.75,153.75,218.0,49.75,90.0,102.25,0.5134474327628362,102.25
A,0,2,9.0,154.0,218.0,43.0,81.0,94.0,0.5425531914893617,94.0
A,0,2,9.25,154.25,218.0,55.75,95.75,108.75,0.48735632183908045,108.75
A,0,2,9.5,154.5,218.0,68.5,110.5,123.5,0.44534412955465585,123.5
A,0,2,9.75,154.75,218.0,81.25,125.25,138.25,0.41229656419529837,138.25
A,0,2,10.0,155.0,218.0,94.0,140.0,153.0,0.38562091503267976,153.0
A,0,2,10.25,155.25,218.0,91.5,142.75,154.75,0.4087237479806139,154.75
A,0,2,10.5,155.5,218.0,89.0,145.5,156.5,0.43130990415335463,156.5
A,0,2,10.75,155.75,218.0,86.5,148.25,158.25,0.45339652448657186,158.25
A,0,2,11.0,156.0,218.0,84.0,151.0,160.0,0.475,160.0
A,0,2,11.25,156.25,218.0,81.75,151.75,161.75,0.4945904173106646,161.75
A,0,2,11.5,156.5,218.0,79.5,152.5,163.5,0.5137614678899083,163.5
A,0,2,11.75,156.75,218.0,77.25,153.25,165.25,0.5325264750378215,165.25
A,0,2,12.0,157.0,218.0,75.0,154.0,167.0,0.5508982035928144,167.0
A,0,2,12.25,157.25,218.0,76.5,156.0,170.5,0.5513196480938416,170.5
A,0,2,12.5,157.5,218.0,78.0,158.0,174.0,0.5517241379310345,174.0
A,0,2,12.75,157.75,218.0,79.5,160.0,177.5,0.5521126760563381,177.5
